"GEO_ID","NAME","B07011_001E","B07011_001EA","B07011_001M","B07011_001MA","B07011_002E","B07011_002EA","B07011_002M","B07011_002MA","B07011_003E","B07011_003EA","B07011_003M","B07011_003MA","B07011_004E","B07011_004EA","B07011_004M","B07011_004MA","B07011_005E","B07011_005EA","B07011_005M","B07011_005MA","B07011_006E","B07011_006M","B07011_006MA","B07011_006EA",
"Geography","Geographic Area Name","Estimate!!Median income in the past 12 months --!!Total:","Annotation of Estimate!!Median income in the past 12 months --!!Total:","Margin of Error!!Median income in the past 12 months --!!Total:","Annotation of Margin of Error!!Median income in the past 12 months --!!Total:","Estimate!!Median income in the past 12 months --!!Total:!!Same house 1 year ago","Annotation of Estimate!!Median income in the past 12 months --!!Total:!!Same house 1 year ago","Margin of Error!!Median income in the past 12 months --!!Total:!!Same house 1 year ago","Annotation of Margin of Error!!Median income in the past 12 months --!!Total:!!Same house 1 year ago","Estimate!!Median income in the past 12 months --!!Total:!!Moved within same county","Annotation of Estimate!!Median income in the past 12 months --!!Total:!!Moved within same county","Margin of Error!!Median income in the past 12 months --!!Total:!!Moved within same county","Annotation of Margin of Error!!Median income in the past 12 months --!!Total:!!Moved within same county","Estimate!!Median income in the past 12 months --!!Total:!!Moved from different county within same state","Annotation of Estimate!!Median income in the past 12 months --!!Total:!!Moved from different county within same state","Margin of Error!!Median income in the past 12 months --!!Total:!!Moved from different county within same state","Annotation of Margin of Error!!Median income in the past 12 months --!!Total:!!Moved from different county within same state","Estimate!!Median income in the past 12 months --!!Total:!!Moved from different state","Annotation of Estimate!!Median income in the past 12 months --!!Total:!!Moved from different state","Margin of Error!!Median income in the past 12 months --!!Total:!!Moved from different state","Annotation of Margin of Error!!Median income in the past 12 months --!!Total:!!Moved from different state","Estimate!!Median income in the past 12 months --!!Total:!!Moved from abroad","Margin of Error!!Median income in the past 12 months --!!Total:!!Moved from abroad","Annotation of Margin of Error!!Median income in the past 12 months --!!Total:!!Moved from abroad","Annotation of Estimate!!Median income in the past 12 months --!!Total:!!Moved from abroad",
"310M500US10100","Aberdeen, SD Micro Area","32574","null","1491","null","35053","null","1383","null","28649","null","4260","null","16786","null","12498","null","17188","null","12141","null","11979","5937","null","null",
"310M500US10140","Aberdeen, WA Micro Area","26117","null","837","null","27136","null","1029","null","23235","null","2805","null","18224","null","6364","null","18974","null","5627","null","25353","950","null","null",
"310M500US10180","Abilene, TX Metro Area","26206","null","606","null","27013","null","650","null","25542","null","1975","null","14297","null","1558","null","23851","null","4302","null","29343","12959","null","null",
"310M500US10220","Ada, OK Micro Area","27415","null","955","null","28937","null","1327","null","22137","null","1723","null","23875","null","6616","null","14750","null","2047","null","23036","21188","null","null",
"310M500US10300","Adrian, MI Micro Area","28228","null","739","null","29771","null","730","null","18384","null","3245","null","16029","null","2702","null","20597","null","2355","null","-","**","**","-",
"310M500US10380","Aguadilla-Isabela, PR Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"310M500US10420","Akron, OH Metro Area","30183","null","254","null","31195","null","277","null","22102","null","754","null","22001","null","1468","null","21696","null","3856","null","13972","6517","null","null",
"310M500US10460","Alamogordo, NM Micro Area","21871","null","771","null","21765","null","904","null","21921","null","2627","null","26875","null","11595","null","23321","null","2585","null","9866","9520","null","null",
"310M500US10500","Albany, GA Metro Area","24788","null","794","null","25697","null","866","null","20951","null","1974","null","19005","null","4921","null","16010","null","3745","null","-","**","**","-",
"310M500US10540","Albany-Lebanon, OR Metro Area","27939","null","871","null","29423","null","924","null","23096","null","2394","null","22685","null","2385","null","25411","null","4400","null","8530","7254","null","null",
"310M500US10580","Albany-Schenectady-Troy, NY Metro Area","36004","null","419","null","37910","null","452","null","28370","null","1592","null","24675","null","1941","null","22778","null","2956","null","20017","4167","null","null",
"310M500US10620","Albemarle, NC Micro Area","26826","null","1015","null","28182","null","1922","null","17177","null","4959","null","19564","null","3761","null","16716","null","9118","null","-","**","**","-",
"310M500US10660","Albert Lea, MN Micro Area","29777","null","855","null","30542","null","746","null","22846","null","3784","null","25331","null","5463","null","19957","null","19308","null","9844","4886","null","null",
"310M500US10700","Albertville, AL Micro Area","24278","null","736","null","24905","null","702","null","20060","null","3406","null","17106","null","3276","null","15179","null","9033","null","31161","23565","null","null",
"310M500US10740","Albuquerque, NM Metro Area","28504","null","526","null","29995","null","477","null","22067","null","753","null","20996","null","2134","null","25718","null","1600","null","16115","1810","null","null",
"310M500US10760","Alexander City, AL Micro Area","23652","null","963","null","24243","null","1044","null","21050","null","5001","null","14826","null","2531","null","25699","null","11389","null","16597","5876","null","null",
"310M500US10780","Alexandria, LA Metro Area","24507","null","760","null","25294","null","617","null","21593","null","1613","null","15559","null","2782","null","20849","null","3376","null","-","**","**","-",
"310M500US10820","Alexandria, MN Micro Area","33855","null","1524","null","35508","null","1058","null","28407","null","4116","null","18784","null","5495","null","23889","null","18244","null","60868","32031","null","null",
"310M500US10860","Alice, TX Micro Area","21371","null","1465","null","21319","null","1455","null","21111","null","4837","null","17467","null","9908","null","31875","null","30788","null","43416","21550","null","null",
"310M500US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","31738","null","229","null","32647","null","453","null","24678","null","1293","null","27693","null","2497","null","22455","null","4217","null","11999","3008","null","null",
"310M500US10940","Alma, MI Micro Area","25803","null","743","null","27118","null","930","null","18114","null","3355","null","10930","null","4095","null","13047","null","5619","null","10446","8151","null","null",
"310M500US10980","Alpena, MI Micro Area","24584","null","1064","null","25161","null","1076","null","21984","null","2286","null","21821","null","2966","null","17639","null","7635","null","-","**","**","-",
"310M500US11020","Altoona, PA Metro Area","27166","null","607","null","28125","null","1019","null","22353","null","1748","null","15000","null","3058","null","26667","null","8842","null","-","**","**","-",
"310M500US11060","Altus, OK Micro Area","27002","null","1478","null","28925","null","1830","null","18369","null","2382","null","15319","null","9549","null","26660","null","5137","null","30917","12133","null","null",
"310M500US11100","Amarillo, TX Metro Area","30216","null","343","null","30965","null","379","null","26969","null","1400","null","24780","null","2633","null","27708","null","6776","null","21456","3948","null","null",
"310M500US11140","Americus, GA Micro Area","22913","null","1583","null","25146","null","1679","null","15083","null","3393","null","8559","null","2583","null","30435","null","19659","null","-","**","**","-",
"310M500US11180","Ames, IA Metro Area","26127","null","742","null","33628","null","1318","null","15176","null","2049","null","7111","null","718","null","6840","null","895","null","13854","8050","null","null",
"310M500US11220","Amsterdam, NY Micro Area","26952","null","900","null","28231","null","1579","null","17096","null","4315","null","24375","null","7191","null","23795","null","8708","null","10625","8961","null","null",
