"GEO_ID","NAME","B25001_001E","B25001_001EA","B25001_001M","B25001_001MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total",
"310M500US10100","Aberdeen, SD Micro Area","20075","null","142","null",
"310M500US10140","Aberdeen, WA Micro Area","36273","null","168","null",
"310M500US10180","Abilene, TX Metro Area","71513","null","430","null",
"310M500US10220","Ada, OK Micro Area","16881","null","146","null",
"310M500US10300","Adrian, MI Micro Area","43806","null","201","null",
"310M500US10380","Aguadilla-Isabela, PR Metro Area","146903","null","712","null",
"310M500US10420","Akron, OH Metro Area","315127","null","382","null",
"310M500US10460","Alamogordo, NM Micro Area","31745","null","141","null",
"310M500US10500","Albany, GA Metro Area","65314","null","338","null",
"310M500US10540","Albany-Lebanon, OR Metro Area","50416","null","158","null",
"310M500US10580","Albany-Schenectady-Troy, NY Metro Area","407696","null","478","null",
"310M500US10620","Albemarle, NC Micro Area","27805","null","131","null",
"310M500US10660","Albert Lea, MN Micro Area","14357","null","85","null",
"310M500US10700","Albertville, AL Micro Area","40597","null","98","null",
"310M500US10740","Albuquerque, NM Metro Area","389606","null","247","null",
"310M500US10760","Alexander City, AL Micro Area","29006","null","112","null",
"310M500US10780","Alexandria, LA Metro Area","67491","null","214","null",
"310M500US10820","Alexandria, MN Micro Area","21152","null","69","null",
"310M500US10860","Alice, TX Micro Area","21946","null","61","null",
"310M500US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","349572","null","582","null",
"310M500US10940","Alma, MI Micro Area","16330","null","181","null",
"310M500US10980","Alpena, MI Micro Area","16056","null","89","null",
"310M500US11020","Altoona, PA Metro Area","56847","null","190","null",
"310M500US11060","Altus, OK Micro Area","12116","null","98","null",
"310M500US11100","Amarillo, TX Metro Area","109130","null","232","null",
"310M500US11140","Americus, GA Micro Area","16097","null","180","null",
"310M500US11180","Ames, IA Metro Area","51925","null","273","null",
"310M500US11220","Amsterdam, NY Micro Area","23496","null","83","null",
"310M500US11260","Anchorage, AK Metro Area","159195","null","303","null",
"310M500US11380","Andrews, TX Micro Area","6296","null","32","null",
"310M500US11420","Angola, IN Micro Area","19986","null","102","null",
"310M500US11460","Ann Arbor, MI Metro Area","151023","null","472","null",
"310M500US11500","Anniston-Oxford, AL Metro Area","53631","null","183","null",
"310M500US11540","Appleton, WI Metro Area","97728","null","192","null",
"310M500US11580","Arcadia, FL Micro Area","15189","null","296","null",
"310M500US11620","Ardmore, OK Micro Area","26311","null","111","null",
"310M500US11640","Arecibo, PR Metro Area","82965","null","508","null",
"310M500US11660","Arkadelphia, AR Micro Area","10533","null","171","null",
"310M500US11700","Asheville, NC Metro Area","227636","null","258","null",
"310M500US11740","Ashland, OH Micro Area","22312","null","119","null",
"310M500US11780","Ashtabula, OH Micro Area","46174","null","139","null",
"310M500US11820","Astoria, OR Micro Area","22447","null","79","null",
"310M500US11860","Atchison, KS Micro Area","6961","null","119","null",
"310M500US11900","Athens, OH Micro Area","26689","null","236","null",
"310M500US11940","Athens, TN Micro Area","23418","null","94","null",
"310M500US11980","Athens, TX Micro Area","41246","null","127","null",
"310M500US12020","Athens-Clarke County, GA Metro Area","85822","null","281","null",
"310M500US12060","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","2299958","null","824","null",
"310M500US12100","Atlantic City-Hammonton, NJ Metro Area","128251","null","200","null",
"310M500US12120","Atmore, AL Micro Area","16586","null","119","null",
"310M500US12140","Auburn, IN Micro Area","18045","null","74","null",
"310M500US12180","Auburn, NY Micro Area","37077","null","180","null",
"310M500US12220","Auburn-Opelika, AL Metro Area","68972","null","196","null",
"310M500US12260","Augusta-Richmond County, GA-SC Metro Area","258018","null","366","null",
"310M500US12300","Augusta-Waterville, ME Micro Area","62754","null","195","null",
"310M500US12380","Austin, MN Micro Area","17071","null","76","null",
"310M500US12420","Austin-Round Rock-Georgetown, TX Metro Area","830537","null","765","null",
"310M500US12460","Bainbridge, GA Micro Area","12216","null","91","null",
"310M500US12540","Bakersfield, CA Metro Area","298117","null","443","null",
"310M500US12580","Baltimore-Columbia-Towson, MD Metro Area","1160178","null","779","null",
"310M500US12620","Bangor, ME Metro Area","75789","null","278","null",
"310M500US12660","Baraboo, WI Micro Area","30414","null","89","null",
"310M500US12680","Bardstown, KY Micro Area","19051","null","85","null",
"310M500US12700","Barnstable Town, MA Metro Area","163557","null","160","null",
"310M500US12740","Barre, VT Micro Area","30760","null","162","null",
"310M500US12780","Bartlesville, OK Micro Area","23740","null","72","null",
"310M500US12860","Batavia, NY Micro Area","25797","null","78","null",
"310M500US12900","Batesville, AR Micro Area","26407","null","99","null",
"310M500US12940","Baton Rouge, LA Metro Area","364402","null","451","null",
"310M500US12980","Battle Creek, MI Metro Area","60889","null","175","null",
"310M500US13020","Bay City, MI Metro Area","48289","null","131","null",
"310M500US13060","Bay City, TX Micro Area","19554","null","65","null",
"310M500US13100","Beatrice, NE Micro Area","10449","null","113","null",
"310M500US13140","Beaumont-Port Arthur, TX Metro Area","170691","null","601","null",
"310M500US13180","Beaver Dam, WI Micro Area","37805","null","165","null",
"310M500US13220","Beckley, WV Metro Area","57673","null","199","null",
"310M500US13260","Bedford, IN Micro Area","21157","null","71","null",
"310M500US13300","Beeville, TX Micro Area","10739","null","139","null",
"310M500US13340","Bellefontaine, OH Micro Area","23410","null","77","null",
"310M500US13380","Bellingham, WA Metro Area","96690","null","175","null",
"310M500US13420","Bemidji, MN Micro Area","21595","null","108","null",
"310M500US13460","Bend, OR Metro Area","88714","null","151","null",
"310M500US13500","Bennettsville, SC Micro Area","12049","null","227","null",
"310M500US13540","Bennington, VT Micro Area","21153","null","116","null",
"310M500US13620","Berlin, NH Micro Area","21594","null","139","null",
"310M500US13660","Big Rapids, MI Micro Area","21539","null","156","null",
"310M500US13700","Big Spring, TX Micro Area","13180","null","189","null",
"310M500US13720","Big Stone Gap, VA Micro Area","19861","null","225","null",
"310M500US13740","Billings, MT Metro Area","82620","null","156","null",
"310M500US13780","Binghamton, NY Metro Area","113473","null","358","null",
"310M500US13820","Birmingham-Hoover, AL Metro Area","484865","null","379","null",
"310M500US13900","Bismarck, ND Metro Area","58568","null","189","null",
"310M500US13940","Blackfoot, ID Micro Area","16745","null","67","null",
"310M500US13980","Blacksburg-Christiansburg, VA Metro Area","72443","null","344","null",
"310M500US14010","Bloomington, IL Metro Area","72384","null","322","null",
"310M500US14020","Bloomington, IN Metro Area","71783","null","371","null",
"310M500US14100","Bloomsburg-Berwick, PA Metro Area","38375","null","248","null",
"310M500US14140","Bluefield, WV-VA Micro Area","54076","null","200","null",
"310M500US14180","Blytheville, AR Micro Area","20559","null","73","null",
"310M500US14220","Bogalusa, LA Micro Area","21777","null","87","null",
"310M500US14260","Boise City, ID Metro Area","275597","null","254","null",
"310M500US14300","Bonham, TX Micro Area","14464","null","217","null",
"310M500US14380","Boone, NC Micro Area","33751","null","169","null",
"310M500US14420","Borger, TX Micro Area","10643","null","33","null",
"310M500US14460","Boston-Cambridge-Newton, MA-NH Metro Area","1958456","null","881","null",
"310M500US14500","Boulder, CO Metro Area","136096","null","264","null",
"310M500US14540","Bowling Green, KY Metro Area","74892","null","361","null",
"310M500US14580","Bozeman, MT Micro Area","49478","null","179","null",
"310M500US14620","Bradford, PA Micro Area","21275","null","167","null",
"310M500US14660","Brainerd, MN Micro Area","67782","null","372","null",
"310M500US14700","Branson, MO Micro Area","30833","null","122","null",
"310M500US14720","Breckenridge, CO Micro Area","31220","null","49","null",
"310M500US14740","Bremerton-Silverdale-Port Orchard, WA Metro Area","112709","null","292","null",
