"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B25032_001E","Estimate!!Total:"
"B25032_001M","Margin of Error!!Total:"
"B25032_001MA","Annotation of Margin of Error!!Total:"
"B25032_001EA","Annotation of Estimate!!Total:"
"B25032_002E","Estimate!!Total:!!Owner-occupied housing units:"
"B25032_002M","Margin of Error!!Total:!!Owner-occupied housing units:"
"B25032_002MA","Annotation of Margin of Error!!Total:!!Owner-occupied housing units:"
"B25032_002EA","Annotation of Estimate!!Total:!!Owner-occupied housing units:"
"B25032_003E","Estimate!!Total:!!Owner-occupied housing units:!!1, detached"
"B25032_003M","Margin of Error!!Total:!!Owner-occupied housing units:!!1, detached"
"B25032_003MA","Annotation of Margin of Error!!Total:!!Owner-occupied housing units:!!1, detached"
"B25032_003EA","Annotation of Estimate!!Total:!!Owner-occupied housing units:!!1, detached"
"B25032_004E","Estimate!!Total:!!Owner-occupied housing units:!!1, attached"
"B25032_004EA","Annotation of Estimate!!Total:!!Owner-occupied housing units:!!1, attached"
"B25032_004M","Margin of Error!!Total:!!Owner-occupied housing units:!!1, attached"
"B25032_004MA","Annotation of Margin of Error!!Total:!!Owner-occupied housing units:!!1, attached"
"B25032_005E","Estimate!!Total:!!Owner-occupied housing units:!!2"
"B25032_005M","Margin of Error!!Total:!!Owner-occupied housing units:!!2"
"B25032_005MA","Annotation of Margin of Error!!Total:!!Owner-occupied housing units:!!2"
"B25032_005EA","Annotation of Estimate!!Total:!!Owner-occupied housing units:!!2"
"B25032_006E","Estimate!!Total:!!Owner-occupied housing units:!!3 or 4"
"B25032_006M","Margin of Error!!Total:!!Owner-occupied housing units:!!3 or 4"
"B25032_006MA","Annotation of Margin of Error!!Total:!!Owner-occupied housing units:!!3 or 4"
"B25032_006EA","Annotation of Estimate!!Total:!!Owner-occupied housing units:!!3 or 4"
"B25032_007E","Estimate!!Total:!!Owner-occupied housing units:!!5 to 9"
"B25032_007M","Margin of Error!!Total:!!Owner-occupied housing units:!!5 to 9"
"B25032_007MA","Annotation of Margin of Error!!Total:!!Owner-occupied housing units:!!5 to 9"
"B25032_007EA","Annotation of Estimate!!Total:!!Owner-occupied housing units:!!5 to 9"
"B25032_008E","Estimate!!Total:!!Owner-occupied housing units:!!10 to 19"
"B25032_008M","Margin of Error!!Total:!!Owner-occupied housing units:!!10 to 19"
"B25032_008MA","Annotation of Margin of Error!!Total:!!Owner-occupied housing units:!!10 to 19"
"B25032_008EA","Annotation of Estimate!!Total:!!Owner-occupied housing units:!!10 to 19"
"B25032_009E","Estimate!!Total:!!Owner-occupied housing units:!!20 to 49"
"B25032_009M","Margin of Error!!Total:!!Owner-occupied housing units:!!20 to 49"
"B25032_009MA","Annotation of Margin of Error!!Total:!!Owner-occupied housing units:!!20 to 49"
"B25032_009EA","Annotation of Estimate!!Total:!!Owner-occupied housing units:!!20 to 49"
"B25032_010E","Estimate!!Total:!!Owner-occupied housing units:!!50 or more"
"B25032_010EA","Annotation of Estimate!!Total:!!Owner-occupied housing units:!!50 or more"
"B25032_010M","Margin of Error!!Total:!!Owner-occupied housing units:!!50 or more"
"B25032_010MA","Annotation of Margin of Error!!Total:!!Owner-occupied housing units:!!50 or more"
"B25032_011E","Estimate!!Total:!!Owner-occupied housing units:!!Mobile home"
"B25032_011EA","Annotation of Estimate!!Total:!!Owner-occupied housing units:!!Mobile home"
"B25032_011M","Margin of Error!!Total:!!Owner-occupied housing units:!!Mobile home"
"B25032_011MA","Annotation of Margin of Error!!Total:!!Owner-occupied housing units:!!Mobile home"
"B25032_012E","Estimate!!Total:!!Owner-occupied housing units:!!Boat, RV, van, etc."
"B25032_012EA","Annotation of Estimate!!Total:!!Owner-occupied housing units:!!Boat, RV, van, etc."
"B25032_012M","Margin of Error!!Total:!!Owner-occupied housing units:!!Boat, RV, van, etc."
"B25032_012MA","Annotation of Margin of Error!!Total:!!Owner-occupied housing units:!!Boat, RV, van, etc."
"B25032_013E","Estimate!!Total:!!Renter-occupied housing units:"
"B25032_013M","Margin of Error!!Total:!!Renter-occupied housing units:"
"B25032_013MA","Annotation of Margin of Error!!Total:!!Renter-occupied housing units:"
"B25032_013EA","Annotation of Estimate!!Total:!!Renter-occupied housing units:"
