"GEO_ID","NAME","B25032_001E","B25032_001M","B25032_001MA","B25032_001EA","B25032_002E","B25032_002M","B25032_002MA","B25032_002EA","B25032_003E","B25032_003M","B25032_003MA","B25032_003EA","B25032_004E","B25032_004EA","B25032_004M","B25032_004MA","B25032_005E","B25032_005M","B25032_005MA","B25032_005EA","B25032_006E","B25032_006M","B25032_006MA","B25032_006EA","B25032_007E","B25032_007M","B25032_007MA","B25032_007EA","B25032_008E","B25032_008M","B25032_008MA","B25032_008EA","B25032_009E","B25032_009M","B25032_009MA","B25032_009EA","B25032_010E","B25032_010EA","B25032_010M","B25032_010MA","B25032_011E","B25032_011EA","B25032_011M","B25032_011MA","B25032_012E","B25032_012EA","B25032_012M","B25032_012MA","B25032_013E","B25032_013M","B25032_013MA","B25032_013EA","B25032_014E","B25032_014M","B25032_014MA","B25032_014EA","B25032_015E","B25032_015EA","B25032_015M","B25032_015MA","B25032_016E","B25032_016M","B25032_016MA","B25032_016EA","B25032_017E","B25032_017M","B25032_017MA","B25032_017EA","B25032_018E","B25032_018M","B25032_018MA","B25032_018EA","B25032_019E","B25032_019M","B25032_019MA","B25032_019EA","B25032_020E","B25032_020EA","B25032_020M","B25032_020MA","B25032_021E","B25032_021EA","B25032_021M","B25032_021MA","B25032_022E","B25032_022EA","B25032_022M","B25032_022MA","B25032_023E","B25032_023M","B25032_023MA","B25032_023EA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!Owner-occupied housing units:","Margin of Error!!Total:!!Owner-occupied housing units:","Annotation of Margin of Error!!Total:!!Owner-occupied housing units:","Annotation of Estimate!!Total:!!Owner-occupied housing units:","Estimate!!Total:!!Owner-occupied housing units:!!1, detached","Margin of Error!!Total:!!Owner-occupied housing units:!!1, detached","Annotation of Margin of Error!!Total:!!Owner-occupied housing units:!!1, detached","Annotation of Estimate!!Total:!!Owner-occupied housing units:!!1, detached","Estimate!!Total:!!Owner-occupied housing units:!!1, attached","Annotation of Estimate!!Total:!!Owner-occupied housing units:!!1, attached","Margin of Error!!Total:!!Owner-occupied housing units:!!1, attached","Annotation of Margin of Error!!Total:!!Owner-occupied housing units:!!1, attached","Estimate!!Total:!!Owner-occupied housing units:!!2","Margin of Error!!Total:!!Owner-occupied housing units:!!2","Annotation of Margin of Error!!Total:!!Owner-occupied housing units:!!2","Annotation of Estimate!!Total:!!Owner-occupied housing units:!!2","Estimate!!Total:!!Owner-occupied housing units:!!3 or 4","Margin of Error!!Total:!!Owner-occupied housing units:!!3 or 4","Annotation of Margin of Error!!Total:!!Owner-occupied housing units:!!3 or 4","Annotation of Estimate!!Total:!!Owner-occupied housing units:!!3 or 4","Estimate!!Total:!!Owner-occupied housing units:!!5 to 9","Margin of Error!!Total:!!Owner-occupied housing units:!!5 to 9","Annotation of Margin of Error!!Total:!!Owner-occupied housing units:!!5 to 9","Annotation of Estimate!!Total:!!Owner-occupied housing units:!!5 to 9","Estimate!!Total:!!Owner-occupied housing units:!!10 to 19","Margin of Error!!Total:!!Owner-occupied housing units:!!10 to 19","Annotation of Margin of Error!!Total:!!Owner-occupied housing units:!!10 to 19","Annotation of Estimate!!Total:!!Owner-occupied housing units:!!10 to 19","Estimate!!Total:!!Owner-occupied housing units:!!20 to 49","Margin of Error!!Total:!!Owner-occupied housing units:!!20 to 49","Annotation of Margin of Error!!Total:!!Owner-occupied housing units:!!20 to 49","Annotation of Estimate!!Total:!!Owner-occupied housing units:!!20 to 49","Estimate!!Total:!!Owner-occupied housing units:!!50 or more","Annotation of Estimate!!Total:!!Owner-occupied housing units:!!50 or more","Margin of Error!!Total:!!Owner-occupied housing units:!!50 or more","Annotation of Margin of Error!!Total:!!Owner-occupied housing units:!!50 or more","Estimate!!Total:!!Owner-occupied housing units:!!Mobile home","Annotation of Estimate!!Total:!!Owner-occupied housing units:!!Mobile home","Margin of Error!!Total:!!Owner-occupied housing units:!!Mobile home","Annotation of Margin of Error!!Total:!!Owner-occupied housing units:!!Mobile home","Estimate!!Total:!!Owner-occupied housing units:!!Boat, RV, van, etc.","Annotation of Estimate!!Total:!!Owner-occupied housing units:!!Boat, RV, van, etc.","Margin of Error!!Total:!!Owner-occupied housing units:!!Boat, RV, van, etc.","Annotation of Margin of Error!!Total:!!Owner-occupied housing units:!!Boat, RV, van, etc.","Estimate!!Total:!!Renter-occupied housing units:","Margin of Error!!Total:!!Renter-occupied housing units:","Annotation of Margin of Error!!Total:!!Renter-occupied housing units:","Annotation of Estimate!!Total:!!Renter-occupied housing units:","Estimate!!Total:!!Renter-occupied housing units:!!1, detached","Margin of Error!!Total:!!Renter-occupied housing units:!!1, detached","Annotation of Margin of Error!!Total:!!Renter-occupied housing units:!!1, detached","Annotation of Estimate!!Total:!!Renter-occupied housing units:!!1, detached","Estimate!!Total:!!Renter-occupied housing units:!!1, attached","Annotation of Estimate!!Total:!!Renter-occupied housing units:!!1, attached","Margin of Error!!Total:!!Renter-occupied housing units:!!1, attached","Annotation of Margin of Error!!Total:!!Renter-occupied housing units:!!1, attached","Estimate!!Total:!!Renter-occupied housing units:!!2","Margin of Error!!Total:!!Renter-occupied housing units:!!2","Annotation of Margin of Error!!Total:!!Renter-occupied housing units:!!2","Annotation of Estimate!!Total:!!Renter-occupied housing units:!!2","Estimate!!Total:!!Renter-occupied housing units:!!3 or 4","Margin of Error!!Total:!!Renter-occupied housing units:!!3 or 4","Annotation of Margin of Error!!Total:!!Renter-occupied housing units:!!3 or 4","Annotation of Estimate!!Total:!!Renter-occupied housing units:!!3 or 4","Estimate!!Total:!!Renter-occupied housing units:!!5 to 9","Margin of Error!!Total:!!Renter-occupied housing units:!!5 to 9","Annotation of Margin of Error!!Total:!!Renter-occupied housing units:!!5 to 9","Annotation of Estimate!!Total:!!Renter-occupied housing units:!!5 to 9","Estimate!!Total:!!Renter-occupied housing units:!!10 to 19","Margin of Error!!Total:!!Renter-occupied housing units:!!10 to 19","Annotation of Margin of Error!!Total:!!Renter-occupied housing units:!!10 to 19","Annotation of Estimate!!Total:!!Renter-occupied housing units:!!10 to 19","Estimate!!Total:!!Renter-occupied housing units:!!20 to 49","Annotation of Estimate!!Total:!!Renter-occupied housing units:!!20 to 49","Margin of Error!!Total:!!Renter-occupied housing units:!!20 to 49","Annotation of Margin of Error!!Total:!!Renter-occupied housing units:!!20 to 49","Estimate!!Total:!!Renter-occupied housing units:!!50 or more","Annotation of Estimate!!Total:!!Renter-occupied housing units:!!50 or more","Margin of Error!!Total:!!Renter-occupied housing units:!!50 or more","Annotation of Margin of Error!!Total:!!Renter-occupied housing units:!!50 or more","Estimate!!Total:!!Renter-occupied housing units:!!Mobile home","Annotation of Estimate!!Total:!!Renter-occupied housing units:!!Mobile home","Margin of Error!!Total:!!Renter-occupied housing units:!!Mobile home","Annotation of Margin of Error!!Total:!!Renter-occupied housing units:!!Mobile home","Estimate!!Total:!!Renter-occupied housing units:!!Boat, RV, van, etc.","Margin of Error!!Total:!!Renter-occupied housing units:!!Boat, RV, van, etc.","Annotation of Margin of Error!!Total:!!Renter-occupied housing units:!!Boat, RV, van, etc.","Annotation of Estimate!!Total:!!Renter-occupied housing units:!!Boat, RV, van, etc.",
"310M500US10100","Aberdeen, SD Micro Area","17849","325","null","null","11701","396","null","null","10389","389","null","null","320","null","130","null","55","38","null","null","29","29","null","null","0","21","null","null","129","62","null","null","0","21","null","null","0","null","21","null","745","null","165","null","34","null","50","null","6148","422","null","null","1435","268","null","null","341","null","157","null","425","135","null","null","627","177","null","null","828","200","null","null","1003","203","null","null","746","null","201","null","484","null","160","null","207","null","141","null","52","56","null","null",
"310M500US10140","Aberdeen, WA Micro Area","28722","648","null","null","19254","607","null","null","16260","645","null","null","162","null","114","null","113","66","null","null","0","29","null","null","0","29","null","null","18","28","null","null","102","91","null","null","0","null","29","null","2545","null","268","null","54","null","43","null","9468","699","null","null","4339","451","null","null","239","null","82","null","739","210","null","null","944","204","null","null","840","239","null","null","549","126","null","null","575","null","205","null","385","null","128","null","829","null","238","null","29","45","null","null",
"310M500US10180","Abilene, TX Metro Area","60931","912","null","null","37756","984","null","null","34267","957","null","null","355","null","99","null","55","47","null","null","23","24","null","null","28","31","null","null","0","32","null","null","9","18","null","null","0","null","32","null","2955","null","319","null","64","null","49","null","23175","926","null","null","10553","675","null","null","1083","null","236","null","1565","306","null","null","2327","370","null","null","1884","294","null","null","2340","397","null","null","580","null","155","null","1313","null","258","null","1504","null","250","null","26","33","null","null",
"310M500US10220","Ada, OK Micro Area","14278","242","null","null","9414","271","null","null","8577","284","null","null","60","null","45","null","2","4","null","null","0","21","null","null","0","21","null","null","0","21","null","null","0","21","null","null","0","null","21","null","761","null","122","null","14","null","14","null","4864","241","null","null","2678","203","null","null","118","null","46","null","430","114","null","null","301","69","null","null","354","105","null","null","123","47","null","null","194","null","72","null","176","null","49","null","490","null","99","null","0","21","null","null",
"310M500US10300","Adrian, MI Micro Area","38345","523","null","null","29728","549","null","null","26920","564","null","null","566","null","108","null","96","49","null","null","85","73","null","null","58","30","null","null","32","51","null","null","4","6","null","null","0","null","24","null","1931","null","248","null","36","null","56","null","8617","518","null","null","3594","382","null","null","148","null","58","null","773","171","null","null","971","196","null","null","1029","198","null","null","794","162","null","null","199","null","63","null","642","null","134","null","460","null","116","null","7","7","null","null",
"310M500US10380","Aguadilla-Isabela, PR Metro Area","109248","1233","null","null","71462","1304","null","null","60892","1348","null","null","6183","null","506","null","3245","367","null","null","344","125","null","null","135","73","null","null","214","96","null","null","129","66","null","null","123","null","86","null","197","null","103","null","0","null","33","null","37786","1128","null","null","23267","972","null","null","4945","null","581","null","2157","308","null","null","1946","349","null","null","2221","330","null","null","1880","272","null","null","457","null","146","null","826","null","141","null","87","null","72","null","0","33","null","null",
"310M500US10420","Akron, OH Metro Area","286543","1358","null","null","190863","1653","null","null","170755","1659","null","null","10350","null","544","null","1325","235","null","null","915","162","null","null","1092","212","null","null","208","88","null","null","259","81","null","null","508","null","124","null","5426","null","427","null","25","null","28","null","95680","1599","null","null","32763","1081","null","null","5447","null","538","null","9491","756","null","null","9077","784","null","null","10835","795","null","null","10326","777","null","null","5423","null","501","null","11438","null","746","null","866","null","185","null","14","23","null","null",
"310M500US10460","Alamogordo, NM Micro Area","23634","627","null","null","15172","612","null","null","10884","591","null","null","112","null","55","null","0","28","null","null","7","11","null","null","0","28","null","null","0","28","null","null","0","28","null","null","16","null","25","null","4071","null","388","null","82","null","50","null","8462","629","null","null","4016","426","null","null","804","null","172","null","354","123","null","null","651","179","null","null","294","136","null","null","351","171","null","null","23","null","34","null","50","null","48","null","1905","null","359","null","14","23","null","null",
"310M500US10500","Albany, GA Metro Area","55714","752","null","null","30225","827","null","null","26046","767","null","null","380","null","105","null","75","45","null","null","70","46","null","null","21","25","null","null","7","12","null","null","0","31","null","null","19","null","32","null","3598","null","298","null","9","null","14","null","25489","891","null","null","10179","762","null","null","1037","null","228","null","4250","503","null","null","3130","418","null","null","2713","427","null","null","1160","282","null","null","412","null","133","null","408","null","160","null","2200","null","324","null","0","31","null","null",
