"GEO_ID","NAME","B25077_001E","B25077_001M","B25077_001MA","B25077_001EA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)",
"310M500US10100","Aberdeen, SD Micro Area","163900","5008","null","null",
"310M500US10140","Aberdeen, WA Micro Area","178800","7683","null","null",
"310M500US10180","Abilene, TX Metro Area","116100","2841","null","null",
"310M500US10220","Ada, OK Micro Area","129300","6396","null","null",
"310M500US10300","Adrian, MI Micro Area","139400","3552","null","null",
"310M500US10380","Aguadilla-Isabela, PR Metro Area","96600","1672","null","null",
"310M500US10420","Akron, OH Metro Area","150000","1449","null","null",
"310M500US10460","Alamogordo, NM Micro Area","112400","5267","null","null",
"310M500US10500","Albany, GA Metro Area","117700","2736","null","null",
"310M500US10540","Albany-Lebanon, OR Metro Area","221600","4836","null","null",
"310M500US10580","Albany-Schenectady-Troy, NY Metro Area","213600","1557","null","null",
"310M500US10620","Albemarle, NC Micro Area","138900","4678","null","null",
"310M500US10660","Albert Lea, MN Micro Area","113800","4271","null","null",
"310M500US10700","Albertville, AL Micro Area","128800","5006","null","null",
"310M500US10740","Albuquerque, NM Metro Area","192800","1440","null","null",
"310M500US10760","Alexander City, AL Micro Area","103300","7409","null","null",
"310M500US10780","Alexandria, LA Metro Area","136200","4978","null","null",
"310M500US10820","Alexandria, MN Micro Area","214800","6205","null","null",
"310M500US10860","Alice, TX Micro Area","71600","5417","null","null",
"310M500US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","213800","1744","null","null",
"310M500US10940","Alma, MI Micro Area","95400","2726","null","null",
"310M500US10980","Alpena, MI Micro Area","96500","3016","null","null",
"310M500US11020","Altoona, PA Metro Area","123600","2755","null","null",
"310M500US11060","Altus, OK Micro Area","106500","9952","null","null",
"310M500US11100","Amarillo, TX Metro Area","140500","2458","null","null",
"310M500US11140","Americus, GA Micro Area","99800","10765","null","null",
"310M500US11180","Ames, IA Metro Area","170600","3777","null","null",
"310M500US11220","Amsterdam, NY Micro Area","105400","4955","null","null",
"310M500US11260","Anchorage, AK Metro Area","294800","2760","null","null",
"310M500US11380","Andrews, TX Micro Area","143900","19680","null","null",
"310M500US11420","Angola, IN Micro Area","148800","6846","null","null",
"310M500US11460","Ann Arbor, MI Metro Area","263600","3237","null","null",
"310M500US11500","Anniston-Oxford, AL Metro Area","118000","2973","null","null",
"310M500US11540","Appleton, WI Metro Area","171300","1795","null","null",
"310M500US11580","Arcadia, FL Micro Area","87700","3692","null","null",
"310M500US11620","Ardmore, OK Micro Area","112800","4611","null","null",
"310M500US11640","Arecibo, PR Metro Area","95900","1387","null","null",
"310M500US11660","Arkadelphia, AR Micro Area","111600","9711","null","null",
"310M500US11700","Asheville, NC Metro Area","220600","2776","null","null",
"310M500US11740","Ashland, OH Micro Area","128400","4557","null","null",
"310M500US11780","Ashtabula, OH Micro Area","112700","2742","null","null",
"310M500US11820","Astoria, OR Micro Area","283900","7542","null","null",
"310M500US11860","Atchison, KS Micro Area","110400","12446","null","null",
"310M500US11900","Athens, OH Micro Area","129600","8773","null","null",
"310M500US11940","Athens, TN Micro Area","133200","7490","null","null",
"310M500US11980","Athens, TX Micro Area","108500","4336","null","null",
"310M500US12020","Athens-Clarke County, GA Metro Area","178700","5067","null","null",
