"GeoFips","GeoName","2019","2020"
"01001","Autauga, AL",18307,17802
"01003","Baldwin, AL",117031,112817
"01005","Barbour, AL",11827,11435
"01007","Bibb, AL",6887,6860
"01009","Blount, AL",15852,15357
"01011","Bullock, AL",4252,4211
"01013","Butler, AL",9710,9089
"01015","Calhoun, AL",58475,56287
"01017","Chambers, AL",12382,12034
"01019","Cherokee, AL",8461,8152
"01021","Chilton, AL",15053,14321
"01023","Choctaw, AL",5435,5235
"01025","Clarke, AL",11637,11375
"01027","Clay, AL",6165,6074
"01029","Cleburne, AL",3946,3987
"01031","Coffee, AL",23206,22568
"01033","Colbert, AL",32275,30948
"01035","Conecuh, AL",5067,4881
"01037","Coosa, AL",2418,2269
"01039","Covington, AL",17418,16649
"01041","Crenshaw, AL",5937,5543
"01043","Cullman, AL",42065,40946
"01045","Dale, AL",27057,26625
"01047","Dallas, AL",16831,15752
"01049","DeKalb, AL",33020,31872
"01051","Elmore, AL",31169,30182
"01053","Escambia, AL",17790,17028
"01055","Etowah, AL",49752,45711
"01057","Fayette, AL",5871,5698
"01059","Franklin, AL",15323,14798
"01061","Geneva, AL",8858,8750
"01063","Greene, AL",3245,3246
"01065","Hale, AL",4824,4635
"01067","Henry, AL",5937,6052
"01069","Houston, AL",65871,63663
"01071","Jackson, AL",22732,21575
"01073","Jefferson, AL",480823,460868
"01075","Lamar, AL",5284,5089
"01077","Lauderdale, AL",44578,42760
"01079","Lawrence, AL",9870,9641
"01081","Lee, AL",87094,83567
"01083","Limestone, AL",38769,38080
"01085","Lowndes, AL",4082,3907
"01087","Macon, AL",7297,7077
"01089","Madison, AL",270277,265535
"01091","Marengo, AL",10127,9787
"01093","Marion, AL",13829,13842
"01095","Marshall, AL",52339,51151
"01097","Mobile, AL",238027,228612
"01099","Monroe, AL",9267,9076
"01101","Montgomery, AL",173814,166112
"01103","Morgan, AL",67247,66038
"01105","Perry, AL",3638,3425
"01107","Pickens, AL",6020,5774
"01109","Pike, AL",19709,19626
"01111","Randolph, AL",8039,7850
"01113","Russell, AL",20907,20141
"01115","St. Clair, AL",31244,29699
"01117","Shelby, AL",127043,122259
"01119","Sumter, AL",5048,4887
"01121","Talladega, AL",38873,37431
"01123","Tallapoosa, AL",19175,17965
"01125","Tuscaloosa, AL",131395,122984
"01127","Walker, AL",25323,24018
"01129","Washington, AL",5790,5549
"01131","Wilcox, AL",4368,4210
"01133","Winston, AL",11322,11082
"02010","Aleutian Islands Census Area, AK*","(NA)","(NA)"
"02013","Aleutians East Borough, AK*",2703,2595
"02016","Aleutians West Census Area, AK*",3802,3839
"02020","Anchorage Municipality, AK",202076,188790
"02050","Bethel Census Area, AK*",8108,7786
"02060","Bristol Bay Borough, AK",1609,1387
"02063","Chugach Census Area, AK*","(NA)",4852
"02066","Copper River Census Area, AK*","(NA)",1629
"02068","Denali Borough, AK*",2489,1343
"02070","Dillingham Census Area, AK*",3506,3100
"02090","Fairbanks North Star Borough, AK",57843,55736
"02100","Haines Borough, AK*",1722,1452
"02105","Hoonah-Angoon Census Area, AK*",1314,1137
"02110","Juneau City and Borough, AK",23635,21408
"02122","Kenai Peninsula Borough, AK*",32198,30747
"02130","Ketchikan Gateway Borough, AK*",10120,8945
"02150","Kodiak Island Borough, AK",9171,8929
"02158","Kusilvak Census Area, AK*",3152,2651
"02164","Lake and Peninsula Borough, AK*",1266,1078
"02170","Matanuska-Susitna Borough, AK",40181,39584
"02180","Nome Census Area, AK",4821,4531
"02185","North Slope Borough, AK*",13162,11320
"02188","Northwest Arctic Borough, AK",3289,3241
"02195","Petersburg Borough, AK*",2432,2386
"02198","Prince of Wales-Hyder Census Area, AK*",3134,2983
"02201","Prince of Wales-Outer Ketchikan Census Area, AK*","(NA)","(NA)"
"02220","Sitka City and Borough, AK*",6533,5979
"02230","Skagway Municipality, AK*",1236,743
"02231","Skagway-Yakutat-Angoon Census Area, AK*","(NA)","(NA)"
"02232","Skagway-Hoonah-Angoon Census Area, AK*","(NA)","(NA)"
"02240","Southeast Fairbanks Census Area, AK*",3430,3458
"02261","Valdez-Cordova Census Area, AK*",7230,"(NA)"
"02275","Wrangell City and Borough, AK*",1356,1250
"02280","Wrangell-Petersburg Census Area, AK*","(NA)","(NA)"
"02282","Yakutat City and Borough, AK*",438,455
"02290","Yukon-Koyukuk Census Area, AK*",2786,2619
"02901","Aleutian Islands Division, AK*","(NA)","(NA)"
"02903","Angoon Division, AK*","(NA)","(NA)"
"02904","Barrow-North Slope Division, AK*","(NA)","(NA)"
"02905","Bethel Division, AK*","(NA)","(NA)"
"02907","Bristol Bay Division, AK*","(NA)","(NA)"
"02908","Cordova-McCarthy Division, AK*","(NA)","(NA)"
"02910","Haines Division, AK*","(NA)","(NA)"
"02912","Kenai-Cook Inlet Division, AK*","(NA)","(NA)"
"02916","Kuskokwim Division, AK*","(NA)","(NA)"
"02919","Outer Ketchikan Division, AK*","(NA)","(NA)"
"02920","Prince of Wales Division, AK*","(NA)","(NA)"
"02921","Seward Division, AK*","(NA)","(NA)"
"02922","Sitka Division, AK*","(NA)","(NA)"
"02923","Skagway-Yakutat Division, AK*","(NA)","(NA)"
"02924","Southeast Fairbanks Division, AK*","(NA)","(NA)"
"02925","Upper Yukon Division, AK*","(NA)","(NA)"
"02926","Valdez-Chitina-Whittier Division, AK*","(NA)","(NA)"
"02928","Wrangell-Petersburg Division, AK*","(NA)","(NA)"
"02929","Yukon-Koyukuk Division, AK*","(NA)","(NA)"
"04001","Apache, AZ",27796,26820
"04003","Cochise, AZ",51642,52019
"04005","Coconino, AZ",86355,80070
"04007","Gila, AZ",20643,19860
"04009","Graham, AZ",12688,12778
"04011","Greenlee, AZ",5792,5652
"04012","La Paz, AZ*",8057,7783
"04013","Maricopa, AZ",2756485,2688472
"04015","Mohave, AZ",72808,71578
"04017","Navajo, AZ",41049,39992
"04019","Pima, AZ",530482,512508
"04021","Pinal, AZ",102593,101579
"04023","Santa Cruz, AZ",20575,19898
"04025","Yavapai, AZ",102137,99287
"04027","Yuma, AZ*",90300,87866
"05001","Arkansas, AR",13942,13743
"05003","Ashley, AR",9235,8341
"05005","Baxter, AR",21260,20982
"05007","Benton, AR",167226,166730
"05009","Boone, AR",20740,19942
"05011","Bradley, AR",5170,4964
"05013","Calhoun, AR",3398,3625
"05015","Carroll, AR",16288,15777
"05017","Chicot, AR",4670,4479
"05019","Clark, AR",12651,11820
"05021","Clay, AR",5538,5403
"05023","Cleburne, AR",11104,10718
"05025","Cleveland, AR",1934,1896
"05027","Columbia, AR",11444,10920
"05029","Conway, AR",10158,10189
"05031","Craighead, AR",71223,69017
"05033","Crawford, AR",27756,27184
"05035","Crittenden, AR",23813,22319
"05037","Cross, AR",7821,7676
"05039","Dallas, AR",3371,3321
"05041","Desha, AR",6625,6379
"05043","Drew, AR",9259,8957
"05045","Faulkner, AR",60663,58715
"05047","Franklin, AR",7385,7158
"05049","Fulton, AR",4091,4017
"05051","Garland, AR",53706,51173
"05053","Grant, AR",6339,6105
"05055","Greene, AR",21549,20448
"05057","Hempstead, AR",10657,10208
"05059","Hot Spring, AR",12426,12283
"05061","Howard, AR",8592,8248
"05063","Independence, AR",21603,21310
"05065","Izard, AR",5384,4987
"05067","Jackson, AR",7350,7323
"05069","Jefferson, AR",35825,34567
"05071","Johnson, AR",11183,10780
"05073","Lafayette, AR",2234,2137
"05075","Lawrence, AR",6530,6359
"05077","Lee, AR",3419,3288
"05079","Lincoln, AR",4528,4400
"05081","Little River, AR",5080,4736
"05083","Logan, AR",8118,8062
"05085","Lonoke, AR",23210,22640
"05087","Madison, AR",6637,6570
"05089","Marion, AR",6417,5831
"05091","Miller, AR",18850,17515
"05093","Mississippi, AR",23178,22089
"05095","Monroe, AR",3434,3320
"05097","Montgomery, AR",2822,2726
"05099","Nevada, AR",3702,3533
"05101","Newton, AR",2624,2558
"05103","Ouachita, AR",9397,9004
"05105","Perry, AR",2784,2763
"05107","Phillips, AR",8357,7993
"05109","Pike, AR",4378,4319
"05111","Poinsett, AR",8516,8264
"05113","Polk, AR",9473,9149
"05115","Pope, AR",35054,32774
"05117","Prairie, AR",2927,2931
"05119","Pulaski, AR",330903,315339
"05121","Randolph, AR",8675,8608
"05123","St. Francis, AR",10589,10070
"05125","Saline, AR",39828,39339
"05127","Scott, AR",4686,4662
"05129","Searcy, AR",3484,3371
"05131","Sebastian, AR",84066,80105
"05133","Sevier, AR",7190,7100
"05135","Sharp, AR",6051,5856
"05137","Stone, AR",5028,4815
"05139","Union, AR",23579,22519
"05141","Van Buren, AR",5972,5831
"05143","Washington, AR",153429,148978
"05145","White, AR",35960,35368
"05147","Woodruff, AR",2821,2833
"05149","Yell, AR",9530,9384
"06001","Alameda, CA",1086364,1014022
"06003","Alpine, CA",1408,1174
"06005","Amador, CA",18147,17384
"06007","Butte, CA",111216,103133
"06009","Calaveras, CA",17106,16714
"06011","Colusa, CA",12251,11340
"06013","Contra Costa, CA",570480,535616
"06015","Del Norte, CA",10970,10472
"06017","El Dorado, CA",91864,86100
"06019","Fresno, CA",520047,495500
"06021","Glenn, CA",13386,13022
"06023","Humboldt, CA",73395,68588
"06025","Imperial, CA",81040,77417
"06027","Inyo, CA",10709,9899
"06029","Kern, CA",429797,409667
"06031","Kings, CA",66548,64210
"06033","Lake, CA",24835,23464
"06035","Lassen, CA",12660,11887
"06037","Los Angeles, CA",6582503,6094927
"06039","Madera, CA",67111,65119
"06041","Marin, CA",193262,178331
"06043","Mariposa, CA",8387,7667
"06045","Mendocino, CA",48374,45136
"06047","Merced, CA",106748,102806
"06049","Modoc, CA",4120,4036
"06051","Mono, CA",10438,9135
"06053","Monterey, CA",258319,241722
"06055","Napa, CA",106660,96368
"06057","Nevada, CA",55225,52067
"06059","Orange, CA",2307036,2138541
"06061","Placer, CA",246019,233534
"06063","Plumas, CA",9968,9507
"06065","Riverside, CA",1094889,1044546
"06067","Sacramento, CA",912924,876827
"06069","San Benito, CA",25228,23952
"06071","San Bernardino, CA",1074821,1047000
"06073","San Diego, CA",2158422,2023738
"06075","San Francisco, CA",983927,901350
"06077","San Joaquin, CA",345612,337367
"06079","San Luis Obispo, CA",175127,162769
"06081","San Mateo, CA",574755,539961
"06083","Santa Barbara, CA",284684,279384
"06085","Santa Clara, CA",1441640,1365130
"06087","Santa Cruz, CA",155654,144757
"06089","Shasta, CA",92610,88680
"06091","Sierra, CA",1124,1066
"06093","Siskiyou, CA",20889,20198
"06095","Solano, CA",204623,192238
"06097","Sonoma, CA",305047,283569
"06099","Stanislaus, CA",255667,244885
"06101","Sutter, CA",44520,42961
"06103","Tehama, CA",26011,25340
"06105","Trinity, CA",4567,4410
"06107","Tulare, CA",212255,202497
"06109","Tuolumne, CA",25908,23882
"06111","Ventura, CA",475231,448378
"06113","Yolo, CA",144623,139869
"06115","Yuba, CA",30412,30643
"08001","Adams, CO*",300099,293301
"08003","Alamosa, CO",11266,10894
"08005","Arapahoe, CO",468676,450422
"08007","Archuleta, CO",8569,8467
"08009","Baca, CO",2574,2560
"08011","Bent, CO",1876,1875
"08013","Boulder, CO*",275683,263882
"08014","Broomfield, CO*",53846,51891
"08015","Chaffee, CO",13457,12953
"08017","Cheyenne, CO",1584,1570
"08019","Clear Creek, CO",5121,4680
"08021","Conejos, CO",3292,3281
"08023","Costilla, CO",1704,1655
"08025","Crowley, CO",1720,1712
"08027","Custer, CO",2230,2218
"08029","Delta, CO",15590,15263
"08031","Denver, CO",702132,660161
"08033","Dolores, CO",1197,1178
"08035","Douglas, CO",203971,199605
"08037","Eagle, CO",48964,44884
"08039","Elbert, CO",10256,10101
"08041","El Paso, CO",432265,422754
"08043","Fremont, CO",20132,19866
"08045","Garfield, CO",39597,37736
"08047","Gilpin, CO",5807,4603
"08049","Grand, CO",11560,10547
"08051","Gunnison, CO",14020,13457
"08053","Hinsdale, CO",616,601
"08055","Huerfano, CO",3229,3280
"08057","Jackson, CO",1021,996
"08059","Jefferson, CO*",357838,343917
"08061","Kiowa, CO",1282,1291
"08063","Kit Carson, CO",4965,4927
"08065","Lake, CO",3674,3495
"08067","La Plata, CO",40555,38397
"08069","Larimer, CO",241649,231931
"08071","Las Animas, CO",7709,7461
"08073","Lincoln, CO",3500,3462
"08075","Logan, CO",12296,12033
"08077","Mesa, CO",90875,87474
"08079","Mineral, CO",927,827
"08081","Moffat, CO",7103,6878
"08083","Montezuma, CO",14590,14154
"08085","Montrose, CO",24256,23517
"08087","Morgan, CO",17485,16876
"08089","Otero, CO",9016,8812
"08091","Ouray, CO",3742,3662
"08093","Park, CO",6091,5994
"08095","Phillips, CO",2989,2898
"08097","Pitkin, CO",24648,22857
"08099","Prowers, CO",6822,6664
"08101","Pueblo, CO",81702,79860
"08103","Rio Blanco, CO",4329,4222
"08105","Rio Grande, CO",6498,6387
"08107","Routt, CO",23690,22329
"08109","Saguache, CO",3172,3029
"08111","San Juan, CO",596,553
"08113","San Miguel, CO",9196,8326
"08115","Sedgwick, CO",1442,1427
"08117","Summit, CO",30277,27472
"08119","Teller, CO",12301,11733
"08121","Washington, CO",2831,2808
"08123","Weld, CO*",166294,157847
"08125","Yuma, CO",7533,7162
"09001","Fairfield, CT",653903,610744
"09003","Hartford, CT",659811,622473
"09005","Litchfield, CT",95255,89911
"09007","Middlesex, CT",98235,92441
"09009","New Haven, CT",511136,488640
"09011","New London, CT",163578,148070
"09013","Tolland, CT",63665,60299
"09015","Windham, CT",52897,49849
"10001","Kent, DE",95331,91775
"10003","New Castle, DE",387089,364397
"10005","Sussex, DE",120488,114297
"11001","District of Columbia, DC",915470,860807
"12001","Alachua, FL",181214,174119
"12003","Baker, FL",10606,10543
"12005","Bay, FL",104634,101054
"12007","Bradford, FL",9267,9061
"12009","Brevard, FL",310767,301003
"12011","Broward, FL",1280343,1203477
"12013","Calhoun, FL",4365,4390
"12015","Charlotte, FL",75109,72787
"12017","Citrus, FL",50993,49032
"12019","Clay, FL",81015,77826
"12021","Collier, FL",234898,224325
"12023","Columbia, FL",34082,32891
"12027","DeSoto, FL",14330,14182
"12029","Dixie, FL",4258,4225
"12031","Duval, FL",703886,684194
"12033","Escambia, FL",196109,191165
"12035","Flagler, FL",41548,40474
"12037","Franklin, FL",5440,5357
"12039","Gadsden, FL",20436,20944
"12041","Gilchrist, FL",6038,6131
"12043","Glades, FL",3929,3813
"12045","Gulf, FL",5724,5861
"12047","Hamilton, FL",4557,4344
"12049","Hardee, FL",10920,10803
"12051","Hendry, FL",19854,19381
"12053","Hernando, FL",68290,65617
"12055","Highlands, FL",40980,38861
"12057","Hillsborough, FL",994818,963412
"12059","Holmes, FL",6266,6097
"12061","Indian River, FL",83641,80007
"12063","Jackson, FL",20655,20551
"12065","Jefferson, FL",5077,5060
"12067","Lafayette, FL",2207,2163
"12069","Lake, FL",152214,148851
"12071","Lee, FL",398686,382943
"12073","Leon, FL",202745,193913
"12075","Levy, FL",14830,14552
"12077","Liberty, FL",2655,2647
"12079","Madison, FL",6965,6892
"12081","Manatee, FL",195385,187565
"12083","Marion, FL",157565,154935
"12085","Martin, FL",102639,99361
"12086","Miami-Dade, FL",1897335,1776825
"12087","Monroe, FL",64725,59700
"12089","Nassau, FL",37035,35722
"12091","Okaloosa, FL",137940,135053
"12093","Okeechobee, FL",16424,15760
"12095","Orange, FL",1167428,1052459
"12097","Osceola, FL",163232,151586
"12099","Palm Beach, FL",975362,924701
"12101","Pasco, FL",195141,190070
"12103","Pinellas, FL",617135,591941
"12105","Polk, FL",323631,322404
"12107","Putnam, FL",23989,23157
"12109","St. Johns, FL",127373,124455
"12111","St. Lucie, FL",127912,124186
"12113","Santa Rosa, FL",65726,63793
"12115","Sarasota, FL",261094,248846
"12117","Seminole, FL",289340,277507
"12119","Sumter, FL",47338,46974
"12121","Suwannee, FL",17318,16584
"12123","Taylor, FL",8693,8514
"12125","Union, FL",4846,4762
"12127","Volusia, FL",258251,245776
"12129","Wakulla, FL",9957,9819
"12131","Walton, FL",45112,44309
"12133","Washington, FL",9231,8891
"13001","Appling, GA",9750,9464
"13003","Atkinson, GA",3308,3290
"13005","Bacon, GA",5342,5158
"13007","Baker, GA",1046,1044
"13009","Baldwin, GA",22605,21617
"13011","Banks, GA",6634,6344
"13013","Barrow, GA",31936,31682
"13015","Bartow, GA",56955,55295
"13017","Ben Hill, GA",7798,7743
"13019","Berrien, GA",6081,5702
"13021","Bibb, GA",112753,107791
"13023","Bleckley, GA",4500,4265
"13025","Brantley, GA",4438,4392
"13027","Brooks, GA",5433,5293
"13029","Bryan, GA",14715,14271
"13031","Bulloch, GA",37623,36035
"13033","Burke, GA",17408,17558
"13035","Butts, GA",10530,10354
"13037","Calhoun, GA",1796,1749
"13039","Camden, GA",22760,22275
