cbsa_code,cbsa_title,metro_area,county_fips,county_name
10100,"Aberdeen, SD",0,46013,"Brown County, South Dakota"
10100,"Aberdeen, SD",0,46045,"Edmunds County, South Dakota"
10140,"Aberdeen, WA",0,53027,"Grays Harbor County, Washington"
10180,"Abilene, TX",1,48059,"Callahan County, Texas"
10180,"Abilene, TX",1,48253,"Jones County, Texas"
10180,"Abilene, TX",1,48441,"Taylor County, Texas"
10220,"Ada, OK",0,40123,"Pontotoc County, Oklahoma"
10300,"Adrian, MI",0,26091,"Lenawee County, Michigan"
10380,"Aguadilla-Isabela, PR",1,72003,"Aguada Municipio, Puerto Rico"
10380,"Aguadilla-Isabela, PR",1,72005,"Aguadilla Municipio, Puerto Rico"
10380,"Aguadilla-Isabela, PR",1,72011,"Añasco Municipio, Puerto Rico"
10380,"Aguadilla-Isabela, PR",1,72071,"Isabela Municipio, Puerto Rico"
10380,"Aguadilla-Isabela, PR",1,72081,"Lares Municipio, Puerto Rico"
10380,"Aguadilla-Isabela, PR",1,72099,"Moca Municipio, Puerto Rico"
10380,"Aguadilla-Isabela, PR",1,72117,"Rincón Municipio, Puerto Rico"
10380,"Aguadilla-Isabela, PR",1,72131,"San Sebastián Municipio, Puerto Rico"
10380,"Aguadilla-Isabela, PR",1,72141,"Utuado Municipio, Puerto Rico"
10420,"Akron, OH",1,39133,"Portage County, Ohio"
10420,"Akron, OH",1,39153,"Summit County, Ohio"
10460,"Alamogordo, NM",0,35035,"Otero County, New Mexico"
10500,"Albany, GA",1,13095,"Dougherty County, Georgia"
10500,"Albany, GA",1,13177,"Lee County, Georgia"
10500,"Albany, GA",1,13273,"Terrell County, Georgia"
10500,"Albany, GA",1,13321,"Worth County, Georgia"
10540,"Albany-Lebanon, OR",1,41043,"Linn County, Oregon"
10580,"Albany-Schenectady-Troy, NY",1,36001,"Albany County, New York"
10580,"Albany-Schenectady-Troy, NY",1,36083,"Rensselaer County, New York"
10580,"Albany-Schenectady-Troy, NY",1,36091,"Saratoga County, New York"
10580,"Albany-Schenectady-Troy, NY",1,36093,"Schenectady County, New York"
10580,"Albany-Schenectady-Troy, NY",1,36095,"Schoharie County, New York"
10620,"Albemarle, NC",0,37167,"Stanly County, North Carolina"
10660,"Albert Lea, MN",0,27047,"Freeborn County, Minnesota"
10700,"Albertville, AL",0,01095,"Marshall County, Alabama"
10740,"Albuquerque, NM",1,35001,"Bernalillo County, New Mexico"
10740,"Albuquerque, NM",1,35043,"Sandoval County, New Mexico"
10740,"Albuquerque, NM",1,35057,"Torrance County, New Mexico"
10740,"Albuquerque, NM",1,35061,"Valencia County, New Mexico"
10760,"Alexander City, AL",0,01037,"Coosa County, Alabama"
10760,"Alexander City, AL",0,01123,"Tallapoosa County, Alabama"
10780,"Alexandria, LA",1,22043,"Grant Parish, Louisiana"
10780,"Alexandria, LA",1,22079,"Rapides Parish, Louisiana"
10820,"Alexandria, MN",0,27041,"Douglas County, Minnesota"
