"state","puma12","cbsa20","stab","CBSAName20","PUMA12name","pop20","afact2","afact"
"State code","PUMA (2012)","Core-based statistical area code","State abbr.","2020 CBSA name","PUMA12 name","Total population (2020 Census)","cbsa20-to-puma12 allocation factor","puma12-to-cbsa20 allocation factor"
"01","00100","22520","AL","Florence-Muscle Shoals, AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",150791,1,0.7931 
"01","00100","99999","AL","[not in a CBSA]","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",39343,0.0022,0.2069 
"01","00200","26620","AL","Huntsville, AL","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",212046,0.4312,1 
"01","00301","26620","AL","Huntsville, AL","Huntsville (North) & Madison (East) Cities",136356,0.2773,1 
"01","00302","26620","AL","Huntsville, AL","Huntsville City (Central & South)",105621,0.2148,1 
"01","00400","22840","AL","Fort Payne, AL","DeKalb & Jackson Counties",71608,1,0.5766 
"01","00400","42460","AL","Scottsboro, AL","DeKalb & Jackson Counties",52579,1,0.4234 
"01","00500","10700","AL","Albertville, AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",97612,1,0.7214 
"01","00500","26620","AL","Huntsville, AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",37700,0.0767,0.2786 
"01","00600","19460","AL","Decatur, AL","Morgan & Lawrence Counties--Decatur City",156494,1,1 
"01","00700","18980","AL","Cullman, AL","Cullman & Winston Counties",87866,1,0.7887 
"01","00700","99999","AL","[not in a CBSA]","Cullman & Winston Counties",23540,0.0013,0.2113 
"01","00800","13820","AL","Birmingham-Hoover, AL","St. Clair & Blount Counties",150782,0.1352,1 
"01","00900","23460","AL","Gadsden, AL","Etowah County",103436,1,1 
"01","01000","45180","AL","Talladega-Sylacauga, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",82149,1,0.5187 
"01","01000","99999","AL","[not in a CBSA]","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",76230,0.0042,0.4813 
"01","01100","11500","AL","Anniston-Oxford, AL","Calhoun County",116441,1,1 
"01","01200","13820","AL","Birmingham-Hoover, AL","Shelby County",224566,0.2014,1 
